Lat,Lon,Alt
74.9662101380551,116.6814163468787,0
27.83815016614559,65.0249446285596,0
68.91992541070152,95.44444116535584,0
64.47377059050046,113.9174323322449,0
54.76242385884123,43.35133566737846,0
50.440137246897166,65.77567291243123,0
31.11006317697066,85.61332937252112,0
59.54289180925057,50.54307279943296,0
67.2799606116753,75.64342373030495,0
54.031153588826974,20.290768992164907,0
39.07031361215285,117.17257147189135,0
49.78107033979935,110.02065289988707,0
66.13897471563627,137.16916499503152,0
60.70941694853216,39.40462290728115,0
76.18243153398866,95.1825963192546,0
