,Lat,Lon,Index
4,74.67772139067766,151.75273293260622,0
0,71.5691638810798,116.33632213440931,1
11,69.21007794616594,39.43902664024656,2
2,67.19696383865912,17.875236941786774,3
12,60.05878532672076,138.17300001368204,4
10,59.479387461875234,81.34026161040502,5
14,57.39568721906803,120.45327775931318,6
9,53.26508216009668,93.2776490971078,7
5,50.05624065601898,72.0369502053657,8
1,45.49452632537872,34.113679253758725,9
6,42.185171832770365,-7.977810024010142,10
13,39.537543938533936,116.11104151449544,11
3,37.66545225403306,76.53326737479912,12
7,37.447099643087945,60.539318281260265,13
8,31.6858580104634,113.3771297830262,14
